code,name,area
GRL,Greenland,410450
GTM,Guatemala,108890
GUM,Guam,540
GUY,Guyana,214970
HIC,High income,43470244.91
HKG,"Hong Kong SAR, China",1110
HND,Honduras,112490
HPC,Heavily indebted poor countries (HIPC),19801755.87
HRV,Croatia,88070
HTI,Haiti,27750
HUN,Hungary,93030
IBD,IBRD only,73008935.13
IBT,IDA & IBRD total,98648947
IDA,IDA total,25640011.87
IDB,IDA blend,4459474
IDN,Indonesia,1916906.77
IDX,IDA only,21180537.87
IMN,Isle of Man,570
IND,India,3287260
INX,Not classified,
IRL,Ireland,70280
IRN,"Iran, Islamic Rep.",1745150
IRQ,Iraq,435050
ISL,Iceland,103000
ISR,Israel,22070
ITA,Italy,302068
JAM,Jamaica,10990
JOR,Jordan,89318
JPN,Japan,377974
KAZ,Kazakhstan,2724900
KEN,Kenya,580370
KGZ,Kyrgyz Republic,199950
KHM,Cambodia,181040
KIR,Kiribati,810
KNA,St. Kitts and Nevis,260
KOR,"Korea, Rep.",100430
KWT,Kuwait,17820
LAC,Latin America & Caribbean (excluding high income),18356325.36
LAO,Lao PDR,236800
LBN,Lebanon,10450
LBR,Liberia,111370
LBY,Libya,1759540
LCA,St. Lucia,620
LCN,Latin America & Caribbean,20523017.36
LDC,Least developed countries: UN classification,20814208.87
LIC,Low income,15028977.87
LIE,Liechtenstein,160
LKA,Sri Lanka,65610
LMC,Lower middle income,24782149
LMY,Low & middle income,96104642
LSO,Lesotho,30360
LTE,Late-demographic dividend,45779851.95
LTU,Lithuania,65290
LUX,Luxembourg,2590
LVA,Latvia,64590
MAC,"Macao SAR, China",33
MAF,St. Martin (French part),50
MAR,Morocco,446550
MCO,Monaco,90.084
MDA,Moldova,33850
MDG,Madagascar,587295
MDV,Maldives,300
MEA,Middle East & North Africa,11385561.9
MEX,Mexico,1964375
MHL,Marshall Islands,180
MIC,Middle income,81075664.13
MKD,North Macedonia,25710
MLI,Mali,1240190
MLT,Malta,320
MMR,Myanmar,676590
MNA,Middle East & North Africa (excluding high income),8775234
MNE,Montenegro,13810
MNG,Mongolia,1564116
MNP,Northern Mariana Islands,460
MOZ,Mozambique,799380
MRT,Mauritania,1030700
MUS,Mauritius,2007
MWI,Malawi,118480
MYS,Malaysia,330411
NAC,North America,25470210
NAM,Namibia,824290
NCL,New Caledonia,18580
NER,Niger,1267000
NGA,Nigeria,923770
NIC,Nicaragua,130370
NLD,Netherlands,41540
NOR,Norway,624500
NPL,Nepal,147180
NRU,Nauru,20
NZL,New Zealand,267710
OED,OECD members,43493178.97
OMN,Oman,309500
OSS,Other small states,2072798
PAK,Pakistan,796100
PAN,Panama,75320
PER,Peru,1285220
PHL,Philippines,300000
PLW,Palau,460
PNG,Papua New Guinea,462840
POL,Poland,312710
PRE,Pre-demographic dividend,20691219.33
PRI,Puerto Rico,8870
PRK,"Korea, Dem. People's Rep.",120540
PRT,Portugal,92230
PRY,Paraguay,406752
PSE,West Bank and Gaza,6025
PSS,Pacific island small states,65150
PST,Post-demographic dividend,39302415.92
PYF,French Polynesia,3471
QAT,Qatar,11490
ROU,Romania,238400
RUS,Russian Federation,17098250
RWA,Rwanda,26340
SAS,South Asia,5135270
SAU,Saudi Arabia,2149690
SDN,Sudan,1878000
SEN,Senegal,196710
SGP,Singapore,728
SLB,Solomon Islands,28900
SLE,Sierra Leone,72300
SLV,El Salvador,21040
SMR,San Marino,60
SOM,Somalia,637660
SRB,Serbia,84990
SSA,Sub-Saharan Africa (excluding high income),24327805.87
SSD,South Sudan,646883
SSF,Sub-Saharan Africa,24328265.87
SST,Small states,2572938
STP,Sao Tome and Principe,960
SUR,Suriname,163820
SVK,Slovak Republic,49030
SVN,Slovenia,20480
SWE,Sweden,528860.72
SWZ,Eswatini,17360
SXM,Sint Maarten (Dutch part),34
SYC,Seychelles,460
SYR,Syrian Arab Republic,185180
TCA,Turks and Caicos Islands,950
TCD,Chad,1284000
TEA,East Asia & Pacific (IDA & IBRD countries),16156093.77
TEC,Europe & Central Asia (IDA & IBRD countries),23872573
TGO,Togo,56790
THA,Thailand,513120
TJK,Tajikistan,141379
TKM,Turkmenistan,488100
TLA,Latin America & the Caribbean (IDA & IBRD countries),20387535.36
TLS,Timor-Leste,14870
TMN,Middle East & North Africa (IDA & IBRD countries),8769209
TON,Tonga,750
TSA,South Asia (IDA & IBRD),5135270
TSS,Sub-Saharan Africa (IDA & IBRD countries),24328265.87
TTO,Trinidad and Tobago,5130
TUN,Tunisia,163610
TUR,Turkiye,785350
TUV,Tuvalu,30
TWN,Taiwan,35808
TZA,Tanzania,947300
UGA,Uganda,241550
UKR,Ukraine,603550
UMC,Upper middle income,56293515.13
URY,Uruguay,176220
USA,United States,9831510
UZB,Uzbekistan,448924
VCT,St. Vincent and the Grenadines,390
VEN,"Venezuela, RB",912050
VGB,British Virgin Islands,150
VIR,Virgin Islands (U.S.),350
VNM,Viet Nam,331340
VUT,Vanuatu,12190
WLD,World,140486936.9
WSM,Samoa,2840
XKX,Kosovo,
YEM,"Yemen, Rep.",527970
ZAF,South Africa,1219090
ZMB,Zambia,752610
ZWE,Zimbabwe,390760
